date,netWgt,fobvalue,price_usd_per_ton,chemical
2025-01-01,2410697687.696,912190605.903,378.3927825370824,Urea
2025-02-01,2078210966.487,851185781.383,409.57621488343955,Urea
2025-03-01,2028980427.979,842986615.658,415.4730149357187,Urea
2025-04-01,1788447636.315,765757607.972,428.1688725031962,Urea
2025-05-01,1575914795.143,702331649.733,445.6660042139333,Urea
2025-06-01,1491556699.831,641122560.516,429.8345216032632,Urea
2025-07-01,1164112934.214,503637572.974,432.63635182788533,Urea
2025-08-01,880777824.749,402445991.556,456.92112159009815,Urea
2025-09-01,999709825.474,465352445.047,465.4875176667979,Urea
2025-10-01,1178612566.048,524922010.201,445.37282676453503,Urea
2025-11-01,539045933.143,223121772.471,413.9197770587937,Urea
2025-12-01,224616795.6,90228380.947,401.6991726107591,Urea
2025-01-01,2700396241.289,730855187.557,270.64738736569103,KCL
2025-02-01,2012568348.958,551192171.441,273.8750073886324,KCL
2025-03-01,2745972355.995,744905116.333,271.2718919790744,KCL
2025-04-01,2853117602.1099997,783714042.439,274.6869045493992,KCL
2025-05-01,2771008883.149,789345140.568,284.85839412791086,KCL
2025-06-01,2844069077.809,832512846.394,292.7189261645315,KCL
2025-07-01,3042544249.787,920733800.148,302.61969081056355,KCL
2025-08-01,3044240547.4090004,912974627.298,299.9022623475161,KCL
2025-09-01,2392330751.089,753637979.021,315.02248536409127,KCL
2025-10-01,2542490329.48,795822399.507,313.0090172928071,KCL
2025-11-01,69033853.741,28315652.837,410.1705366650132,KCL
2025-12-01,49318513.531,16660972.085,337.8238898974005,KCL
2025-01-01,866808463.252,140244848.57999998,161.79450769763395,Sulphur
2025-02-01,994875140.878,159139661.095,159.959430642277,Sulphur
2025-03-01,975829419.968,169535112.694,173.73437326736828,Sulphur
2025-04-01,1015978171.694,225681356.806,222.13209209968383,Sulphur
2025-05-01,707658491.462,161923763.935,228.81625231468732,Sulphur
2025-06-01,1127498594.567,295641807.053,262.2103552745776,Sulphur
2025-07-01,887036512.118,220029863.416,248.05051473093144,Sulphur
2025-08-01,705222198.758,181318394.809,257.10817828526723,Sulphur
2025-09-01,899203033.709,231298130.034,257.22570027366334,Sulphur
2025-10-01,699198072.265,209333097.27,299.39026661197886,Sulphur
2025-11-01,145394975.296,44375272.665,305.2049947025977,Sulphur
2025-12-01,99306501.16,31510405.951,317.30456297348826,Sulphur
2025-01-01,1215790116.054,108459290.144,89.20889281121835,Sulphuric Acid
2025-02-01,882138477.066,71578427.982,81.1419406849483,Sulphuric Acid
2025-03-01,991195698.692,95085220.816,95.92981581889046,Sulphuric Acid
2025-04-01,1105141365.151,99277670.819,89.83255350815259,Sulphuric Acid
2025-05-01,696182152.54,84236424.835,120.99767931088996,Sulphuric Acid
2025-06-01,794689656.409,78717651.301,99.05458145347582,Sulphuric Acid
2025-07-01,791702899.793,85284420.019,107.7227581726663,Sulphuric Acid
2025-08-01,803794947.868,75313185.754,93.69701309240872,Sulphuric Acid
2025-09-01,821152470.643,88515613.641,107.79437047992832,Sulphuric Acid
2025-10-01,572206306.18,71668419.14,125.24926475985944,Sulphuric Acid
2025-11-01,288289277.423,29869566.752,103.60970417978152,Sulphuric Acid
2025-12-01,32683741.046,5511269.297,168.6241880708603,Sulphuric Acid
2025-01-01,57063613.719,30144730.512,528.2653611887001,Acetic Acid
2025-02-01,102978849.688,45494234.95,441.7823182899798,Acetic Acid
2025-03-01,66191111.795,29251671.955,441.92749089326577,Acetic Acid
2025-04-01,138199380.32999998,68409080.221,495.0027999955505,Acetic Acid
2025-05-01,69768712.76799999,31835595.184,456.30188548643633,Acetic Acid
2025-06-01,53421693.96,25140514.322,470.604963235052,Acetic Acid
2025-07-01,50248889.318,23939023.568,476.4090090927569,Acetic Acid
2025-08-01,51607855.513,21804519.652999997,422.50388891876054,Acetic Acid
2025-09-01,56886865.476,27027293.746,475.1060463579689,Acetic Acid
2025-10-01,115248012.297,44601091.401999995,387.0009600431174,Acetic Acid
2025-11-01,38402634.357,15042939.01,391.71633045163696,Acetic Acid
2025-12-01,4119766.731,1789647.719,434.4051097683375,Acetic Acid
2025-01-01,29228424.313,12173895.6,416.5087884872872,PAC
2025-02-01,30205576.358,14663834.607,485.4677968465998,PAC
2025-03-01,31959967.308,14235632.179,445.4207365674193,PAC
2025-04-01,27832609.339,12823342.177,460.7308650372029,PAC
2025-05-01,30260602.527000003,14010752.379,463.0030868188734,PAC
2025-06-01,29176015.387,12787352.598,438.28303585614634,PAC
2025-07-01,32804713.922,18713921.386,570.4643982110688,PAC
2025-08-01,27579520.479,12225550.809,443.2836610886313,PAC
2025-09-01,32117622.132,16192829.278,504.1727314509523,PAC
2025-10-01,31784465.285000004,13077993.898,411.4586726796967,PAC
2025-11-01,10571261.137,4909744.043,464.4426033347737,PAC
2025-12-01,8107054.0,2381692.958,293.78032488743753,PAC
2025-01-01,13448342.372,14347918.129,1066.891199830914,Formates
2025-02-01,8911640.629,10942871.305,1227.9300479633378,Formates
2025-03-01,7525231.019,9608555.264,1276.845221062309,Formates
2025-04-01,6456879.197,8779609.564,1359.7295684390672,Formates
2025-05-01,6055028.617,7513489.541999999,1240.8677179336937,Formates
2025-06-01,2579599.11,4020980.171,1558.76165230961,Formates
2025-07-01,7035592.825,8622562.776,1225.563074850057,Formates
2025-08-01,5658107.932,7280706.756,1286.774102491617,Formates
2025-09-01,5759079.292,7068456.183999999,1227.3587192693924,Formates
2025-10-01,8254609.172,11327847.899,1372.3057824984085,Formates
2025-11-01,4378648.935,5632045.562,1286.2519114015247,Formates
2025-12-01,3144286.8,4415144.139,1404.1798410374015,Formates
2025-01-01,876569207.9760001,2611710546.5950003,2979.468731996011,Water Treatment Chemicals
2025-02-01,830954385.174,2561653505.633,3082.784748884375,Water Treatment Chemicals
2025-03-01,641362597.002,2361137883.393,3681.439944315364,Water Treatment Chemicals
2025-04-01,826191233.566,2988128123.6689997,3616.751185765631,Water Treatment Chemicals
2025-05-01,834492619.899,2820205078.224,3379.5446610005174,Water Treatment Chemicals
2025-06-01,625493580.895,2077436216.58,3321.27503787882,Water Treatment Chemicals
2025-07-01,686782788.086,2315170734.831,3371.037793889923,Water Treatment Chemicals
2025-08-01,591435421.866,1984388449.259,3355.2073073306683,Water Treatment Chemicals
2025-09-01,774919496.084,2699150731.764,3483.136952165953,Water Treatment Chemicals
2025-10-01,699015158.886,2286072591.811,3270.419192988957,Water Treatment Chemicals
2025-11-01,305563136.479,1242524777.311,4066.3438385552554,Water Treatment Chemicals
2025-12-01,172643727.94799998,751379201.352,4352.1951841674445,Water Treatment Chemicals
