date,netWgt,fobvalue,price_usd_per_ton,chemical
2020-01-01,144969933.226,55014913.614,379.49188766083535,Acetic Acid
2020-02-01,123862372.884,50572796.005,408.29829775958353,Acetic Acid
2020-03-01,250157370.331,95984360.163,383.69591124177816,Acetic Acid
2020-04-01,201975121.145,77554805.874,383.9819747815505,Acetic Acid
2020-05-01,93212926.5,37337538.11,400.56180523417,Acetic Acid
2020-06-01,147465754.494,62620680.083000004,424.6455748174935,Acetic Acid
2020-07-01,191341022.848,70031192.383,366.0019756381898,Acetic Acid
2020-08-01,190478772.671,75750398.556,397.68420120407905,Acetic Acid
2020-09-01,180043477.137,71251130.744,395.7440273705838,Acetic Acid
2020-10-01,168570611.498,69566136.943,412.6824736815134,Acetic Acid
2020-11-01,220337538.755,86838959.381,394.11786058642906,Acetic Acid
2020-12-01,245895939.456,104227966.984,423.8702241874567,Acetic Acid
2021-01-01,256689326.61400002,137527474.14,535.7740267354737,Acetic Acid
2021-02-01,191204987.696,114508593.15900001,598.8786931701758,Acetic Acid
2021-03-01,204203472.082,132496406.66600001,648.8450236183777,Acetic Acid
2021-04-01,278110425.735,226228665.397,813.4490636196573,Acetic Acid
2021-05-01,246409687.916,211225202.54500002,857.2114364959781,Acetic Acid
2021-06-01,200122914.063,195736749.56,978.0826472393901,Acetic Acid
2021-07-01,228790180.996,234729687.154,1025.960494161696,Acetic Acid
2021-08-01,231180535.417,216428912.702,936.1900313605934,Acetic Acid
2021-09-01,223312564.942,201383716.01500002,901.8019925000841,Acetic Acid
2021-10-01,165934244.167,150914928.827,909.4863425244266,Acetic Acid
2021-11-01,346979663.277,336240100.136,969.0484363274442,Acetic Acid
2021-12-01,196926854.439,189708386.32,963.3444197361309,Acetic Acid
2022-01-01,271874160.96,238548748.55900002,877.4233921924524,Acetic Acid
2022-02-01,172807353.714,147613605.317,854.2090492358549,Acetic Acid
2022-03-01,265599073.687,195558637.896,736.2926202312723,Acetic Acid
2022-04-01,294646300.244,209350123.374,710.5133280161155,Acetic Acid
2022-05-01,241063173.602,173596206.649,720.1274423426065,Acetic Acid
2022-06-01,185972586.424,132625010.695,713.1427983295745,Acetic Acid
2022-07-01,189974408.805,131787323.289,693.7109272663859,Acetic Acid
2022-08-01,277143622.637,186035462.19,671.2601228918314,Acetic Acid
2022-09-01,266100321.89499998,160516438.968,603.2177557129671,Acetic Acid
2022-10-01,235940011.828,152800327.525,647.6236325544955,Acetic Acid
2022-11-01,193580078.171,121888359.331,629.6534255107039,Acetic Acid
2022-12-01,245840117.097,140002841.975,569.4873710125988,Acetic Acid
2023-01-01,236160072.876,141208482.429,597.9354626264195,Acetic Acid
2023-02-01,148975154.501,69566139.222,466.96470599420013,Acetic Acid
2023-03-01,186190396.859,96813833.028,519.9722147932049,Acetic Acid
2023-04-01,280644743.046,145246254.637,517.5448970130644,Acetic Acid
2023-05-01,208632485.64999998,99021392.04900001,474.6211585434371,Acetic Acid
2023-06-01,135498071.611,78663009.253,580.5470758198893,Acetic Acid
2023-07-01,197428478.002,96252465.029,487.53080610804756,Acetic Acid
2023-08-01,132228558.081,64874006.308000006,490.6202355187128,Acetic Acid
2023-09-01,128690038.173,67286062.848,522.8537018346852,Acetic Acid
2023-10-01,188643860.048,100173094.378,531.0169880562834,Acetic Acid
2023-11-01,172302269.96899998,85760623.09300001,497.73356502168986,Acetic Acid
2023-12-01,269850240.881,117704299.838,436.1837864354766,Acetic Acid
2024-01-01,220770429.4,95498079.16,432.56734798922304,Acetic Acid
2024-02-01,173602980.32,74738632.776,430.514687237715,Acetic Acid
2024-03-01,256502233.38,115376011.823,449.80509644169086,Acetic Acid
2024-04-01,226352841.639,92423422.489,408.31571549873433,Acetic Acid
2024-05-01,277513755.068,116913118.428,421.2876525682571,Acetic Acid
2024-06-01,190317725.836,78425753.508,412.07802984983545,Acetic Acid
2024-07-01,237962758.599,98660587.074,414.6051577770481,Acetic Acid
2024-08-01,122907731.336,51764660.564,421.1668379305444,Acetic Acid
2024-09-01,186784910.255,79102199.763,423.49352340619566,Acetic Acid
2024-10-01,173831484.658,69037337.112,397.15093757512125,Acetic Acid
2024-11-01,220647488.426,90063926.845,408.18015871141597,Acetic Acid
2024-12-01,272958862.199,109459615.90799999,401.01140159427655,Acetic Acid
