date,netWgt,fobvalue,price_usd_per_ton,chemical
2020-01-01,1608418149.5509999,79606279.458,49.49352224122974,Sulphuric Acid
2020-02-01,1102464373.572,59427427.112,53.90417009073437,Sulphuric Acid
2020-03-01,1955470747.119,89675838.645,45.858951752216,Sulphuric Acid
2020-04-01,1815400037.102,89007577.544,49.02918129608864,Sulphuric Acid
2020-05-01,1357871185.533,71107878.853,52.367175627994705,Sulphuric Acid
2020-06-01,1257827654.181,50830648.969,40.41145764289702,Sulphuric Acid
2020-07-01,1778139519.806,69840084.049,39.277055186659226,Sulphuric Acid
2020-08-01,1761579623.775,66525844.798999995,37.764880963165076,Sulphuric Acid
2020-09-01,1854359076.857,74043338.546,39.929342418135064,Sulphuric Acid
2020-10-01,1111356726.1529999,61984440.487,55.773667471794866,Sulphuric Acid
2020-11-01,1450914479.1560001,74767972.155,51.531619009338634,Sulphuric Acid
2020-12-01,1418223586.764,76359316.971,53.84152236900189,Sulphuric Acid
2021-01-01,1177771704.036,57453522.225,48.78154401919972,Sulphuric Acid
2021-02-01,1012225685.715,52517504.098,51.88319644438138,Sulphuric Acid
2021-03-01,1777406412.345,89213065.46,50.19283425578385,Sulphuric Acid
2021-04-01,1339408033.94,78896836.874,58.9042583550266,Sulphuric Acid
2021-05-01,1077970854.57,77783842.806,72.15764923164623,Sulphuric Acid
2021-06-01,1342846387.09,99475170.636,74.07784806389252,Sulphuric Acid
2021-07-01,1313969313.964,109486273.044,83.32483253638577,Sulphuric Acid
2021-08-01,1210090299.738,98500680.205,81.39944616226298,Sulphuric Acid
2021-09-01,1263658446.526,100018904.873,79.15026813453272,Sulphuric Acid
2021-10-01,1770256366.84,153263365.41099998,86.5769321788025,Sulphuric Acid
2021-11-01,1587278177.6560001,153419106.166,96.65546236675439,Sulphuric Acid
2021-12-01,1484276322.504,144139090.62,97.11068514307017,Sulphuric Acid
2022-01-01,1581582161.583,173078348.60300002,109.43367521910244,Sulphuric Acid
2022-02-01,1614063874.812,182268306.348,112.92508877272896,Sulphuric Acid
2022-03-01,1871451315.875,229874836.868,122.83238944985413,Sulphuric Acid
2022-04-01,1341342459.428,174278181.099,129.92817745687327,Sulphuric Acid
2022-05-01,1636272242.921,216930279.991,132.5759090087269,Sulphuric Acid
2022-06-01,1323577297.84,186931979.397,141.23238567332785,Sulphuric Acid
2022-07-01,1314696554.22,181817914.601,138.29648675763912,Sulphuric Acid
2022-08-01,1522419667.809,207879075.573,136.54518525248068,Sulphuric Acid
2022-09-01,1484113321.921,167913707.835,113.14075910164098,Sulphuric Acid
2022-10-01,1520857716.698,129895450.042,85.40933751779333,Sulphuric Acid
2022-11-01,1247841824.863,117535467.501,94.19099853773868,Sulphuric Acid
2022-12-01,1880275882.187,125401108.463,66.69293035718917,Sulphuric Acid
2023-01-01,1371262799.471,119559077.539,87.18903304685506,Sulphuric Acid
2023-02-01,1148989730.323,95996192.109,83.54834649567658,Sulphuric Acid
2023-03-01,1193146795.964,92178744.361,77.25683434159869,Sulphuric Acid
2023-04-01,954838714.006,78848064.885,82.57736487683358,Sulphuric Acid
2023-05-01,1219520832.236,80806368.887,66.26075319996048,Sulphuric Acid
2023-06-01,1185510559.911,83401710.764,70.35087968365396,Sulphuric Acid
2023-07-01,1070326741.477,68780631.754,64.26134103599617,Sulphuric Acid
2023-08-01,1449378008.787,81398975.887,56.161315677146,Sulphuric Acid
2023-09-01,1090040046.459,75665684.253,69.41550863089877,Sulphuric Acid
2023-10-01,1157485516.841,74161089.508,64.07085741374962,Sulphuric Acid
2023-11-01,1440601855.851,91986022.087,63.852494506652924,Sulphuric Acid
2023-12-01,1248382909.174,94211256.178,75.46663406369079,Sulphuric Acid
2024-01-01,1716195390.052,94046387.52,54.79934747823232,Sulphuric Acid
2024-02-01,1160583557.2810001,79817080.286,68.77323031613028,Sulphuric Acid
2024-03-01,1138585751.773,74751040.4,65.65253454436616,Sulphuric Acid
2024-04-01,1148357206.9689999,76611633.426,66.71411383241151,Sulphuric Acid
2024-05-01,1339276623.547,85734576.46,64.0155849453541,Sulphuric Acid
2024-06-01,1105697497.444,73575821.941,66.54245135860623,Sulphuric Acid
2024-07-01,1211581900.503,86543036.559,71.42978656504427,Sulphuric Acid
2024-08-01,1444371581.7810001,103595399.22299999,71.72350974619732,Sulphuric Acid
2024-09-01,1230911580.628,90268484.509,73.33466183082446,Sulphuric Acid
2024-10-01,1313066414.753,100629586.115,76.63708780026131,Sulphuric Acid
2024-11-01,1456592452.316,105695660.668,72.56364709287254,Sulphuric Acid
2024-12-01,1988743991.832,145322814.239,73.07266035038069,Sulphuric Acid
