date,netWgt,fobvalue,price_usd_per_ton,chemical
2020-01-01,2718783561.8999996,666284306.619,245.06706453432162,Urea
2020-02-01,2328456284.956,562921100.228,241.75721222038635,Urea
2020-03-01,3008726264.226,733515118.261,243.7958969490028,Urea
2020-04-01,2617405043.9049997,649821569.58,248.2693960925926,Urea
2020-05-01,3226998334.506,791898921.292,245.3979950421098,Urea
2020-06-01,2935455071.686,680796728.776,231.92204007570774,Urea
2020-07-01,2737653219.018,654602051.51,239.1106539581396,Urea
2020-08-01,2714796999.899,636410816.234,234.4229849442432,Urea
2020-09-01,3666596023.048,915968377.036,249.81437040739652,Urea
2020-10-01,3432213870.293,904013046.547,263.39065125618947,Urea
2020-11-01,2925546376.4500003,766530920.587,262.0129103942443,Urea
2020-12-01,3152071902.151,809538067.279,256.82728453198183,Urea
2021-01-01,2617760210.1610003,744573633.0929999,284.43156489387025,Urea
2021-02-01,2283318736.192,684231974.258,299.66555409566973,Urea
2021-03-01,3134761644.665,979103852.277,312.33757563141074,Urea
2021-04-01,2894292740.649,984587988.4909999,340.1825857705815,Urea
2021-05-01,3032354219.499,1025792694.609,338.282608282643,Urea
2021-06-01,3235276328.505,1165955508.399,360.3882296316186,Urea
2021-07-01,2749674023.924,1012394357.205,368.18704631767014,Urea
2021-08-01,3281645132.794,1317273195.721,401.4063502958562,Urea
2021-09-01,3916626063.659,1649690297.06,421.20188913792356,Urea
2021-10-01,3312536480.683,1579158716.377,476.72190950524987,Urea
2021-11-01,3264175215.445,2022732477.842,619.6764402447201,Urea
2021-12-01,2939630944.437,1985039548.649,675.2682857708779,Urea
2022-01-01,2137206252.796,1622205974.619,759.0310820477664,Urea
2022-02-01,2258141315.301,1554906853.672,688.5781873508381,Urea
2022-03-01,2672273383.178,1946538447.92,728.4204004625755,Urea
2022-04-01,2437774787.588,1971466149.688,808.7154562947228,Urea
2022-05-01,2634619134.738,2058085779.705,781.1701329306812,Urea
2022-06-01,2471767666.153,1827437164.484,739.3240026188139,Urea
2022-07-01,2077481264.452,1413325751.959,680.3073395378169,Urea
2022-08-01,2228837881.854,1541514610.558,691.6225819330259,Urea
2022-09-01,2705316162.31,1912946934.946,707.106607943592,Urea
2022-10-01,2159930931.803,1616881809.069,748.5803297049456,Urea
2022-11-01,2555292804.869,1811851179.3539999,709.0581462529834,Urea
2022-12-01,2308016373.779,1451386502.794,628.8458432457269,Urea
2023-01-01,2874840478.451,1536561309.468,534.4857639878225,Urea
2023-02-01,2278141226.418,1073289790.944,471.12522195630976,Urea
2023-03-01,2399565747.184,1057495190.0009999,440.70273600213653,Urea
2023-04-01,2433375849.392,916707251.194,376.7224251128518,Urea
2023-05-01,2469283859.879,911265226.68,369.04028794998635,Urea
2023-06-01,2059621571.835,760459575.603,369.22296115080786,Urea
2023-07-01,2437977746.949,855657291.612,350.9700991663315,Urea
2023-08-01,2774050403.595,921772058.418,332.2838176348345,Urea
2023-09-01,3442741577.27,1271927000.202,369.4517789542029,Urea
2023-10-01,3054387256.06,1172610797.967,383.91032297574696,Urea
2023-11-01,2513538145.959,1020757245.4039999,406.10374147098787,Urea
2023-12-01,2406510864.547,950885369.419,395.13030397142796,Urea
2024-01-01,2560941700.769,891069821.158,347.9461562480822,Urea
2024-02-01,2072873085.305,760965016.903,367.1064197309661,Urea
2024-03-01,2277787421.091,884746141.381,388.42349079144094,Urea
2024-04-01,2044766834.963,765910764.781,374.57119886965455,Urea
2024-05-01,2410982148.441,823166316.49,341.42364638505495,Urea
2024-06-01,2359020606.0,778180843.564,329.87454267451193,Urea
2024-07-01,2060406955.757,752791908.1159999,365.3607875922851,Urea
2024-08-01,2012277971.056,662493489.2609999,329.22563323263813,Urea
2024-09-01,2318722614.248,721460748.951,311.1457767814895,Urea
2024-10-01,2297446539.605,834865302.95,363.3883481325918,Urea
2024-11-01,2225057734.99,841139885.764,378.0305888412286,Urea
2024-12-01,2437879472.06,874147251.113,358.5686910002768,Urea
