date,netWgt,fobvalue,price_usd_per_ton,chemical
2020-01-01,991687313.816,2153265269.044,2171.3147269760498,Water Treatment Chemicals
2020-02-01,962135094.956,2077653057.9850001,2159.419263341615,Water Treatment Chemicals
2020-03-01,1325514355.078,2947870257.586,2223.944423002897,Water Treatment Chemicals
2020-04-01,1051100154.913,2410894434.387,2293.686689244709,Water Treatment Chemicals
2020-05-01,983651383.545,2349434607.264,2388.482999735971,Water Treatment Chemicals
2020-06-01,924413752.079,2112657895.175,2285.4029274485015,Water Treatment Chemicals
2020-07-01,1054992928.91,2581627874.2009997,2447.0570403427178,Water Treatment Chemicals
2020-08-01,1017888330.039,2437660541.726,2394.8211898967365,Water Treatment Chemicals
2020-09-01,1104562400.042,2740816264.932,2481.359373474765,Water Treatment Chemicals
2020-10-01,1152745294.73,2831081837.69,2455.9474244942426,Water Treatment Chemicals
2020-11-01,1141439574.308,2763459914.618,2421.030404779292,Water Treatment Chemicals
2020-12-01,1118863427.126,2938658399.875,2626.46747460811,Water Treatment Chemicals
2021-01-01,1138488462.765,2568836956.995,2256.357478367564,Water Treatment Chemicals
2021-02-01,1073427799.247,2856049682.941,2660.6816824983416,Water Treatment Chemicals
2021-03-01,1483438270.738,3563910511.246,2402.4663388743365,Water Treatment Chemicals
2021-04-01,1217319797.994,2968981396.375,2438.949404476566,Water Treatment Chemicals
2021-05-01,1214006149.702,2946670318.902,2427.228494374031,Water Treatment Chemicals
2021-06-01,1269164363.629,3473515106.612,2736.8520627855983,Water Treatment Chemicals
2021-07-01,1207515966.47,3389823867.654,2807.270431018535,Water Treatment Chemicals
2021-08-01,1198079063.76,3255919616.087,2717.616653669551,Water Treatment Chemicals
2021-09-01,1260869051.813,3412011342.581,2706.079063226176,Water Treatment Chemicals
2021-10-01,1215697166.067,3499967790.548,2878.9799698810093,Water Treatment Chemicals
2021-11-01,1287454014.086,3476204188.936,2700.060857244564,Water Treatment Chemicals
2021-12-01,1275420403.252,3555386126.583,2787.618982350967,Water Treatment Chemicals
2022-01-01,1242069990.42,3296952852.886,2654.4018278480034,Water Treatment Chemicals
2022-02-01,1118297205.069,3123603997.906,2793.1787576212987,Water Treatment Chemicals
2022-03-01,1356949511.748,3827827945.81,2820.906682724735,Water Treatment Chemicals
2022-04-01,1288022231.593,3635541390.702,2822.576584105723,Water Treatment Chemicals
2022-05-01,1261847261.996,3235878094.929,2564.3976037246075,Water Treatment Chemicals
2022-06-01,1263295038.176,3727944337.56,2950.9688749688803,Water Treatment Chemicals
2022-07-01,1206428991.0970001,3480751910.668,2885.16931900233,Water Treatment Chemicals
2022-08-01,1097975806.7319999,2915114989.19,2654.99018404286,Water Treatment Chemicals
2022-09-01,1236795253.475,3470857952.766,2806.3318831585075,Water Treatment Chemicals
2022-10-01,1156036169.124,3201095690.356,2769.027281198016,Water Treatment Chemicals
2022-11-01,1184011735.461,3353767744.285,2832.546032982685,Water Treatment Chemicals
2022-12-01,1114827488.701,2927970049.918,2626.3884588365136,Water Treatment Chemicals
2023-01-01,1044612528.368,3135151935.577,3001.258218178805,Water Treatment Chemicals
2023-02-01,1075705912.3700001,3149449066.544,2927.7974865873143,Water Treatment Chemicals
2023-03-01,1193658085.325,3190956256.767,2673.258193445061,Water Treatment Chemicals
2023-04-01,1074803581.392,2952056257.1949997,2746.600689003782,Water Treatment Chemicals
2023-05-01,1129980374.436,3388381105.406,2998.6194292066543,Water Treatment Chemicals
2023-06-01,1110954033.165,3419104347.68,3077.628997789678,Water Treatment Chemicals
2023-07-01,1061516992.999,3277272332.902,3087.3479694781367,Water Treatment Chemicals
2023-08-01,1087913906.94,3397168925.455,3122.6450032340276,Water Treatment Chemicals
2023-09-01,1067110582.556,3015670488.405,2826.014976987395,Water Treatment Chemicals
2023-10-01,1188232460.679,3214082559.047,2704.9274156425204,Water Treatment Chemicals
2023-11-01,1182352477.157,3554119508.879,3005.97290363444,Water Treatment Chemicals
2023-12-01,1048979183.8460001,3078427880.907,2934.689199093718,Water Treatment Chemicals
2024-01-01,1194904205.164,3321297874.2530003,2779.5515823773953,Water Treatment Chemicals
2024-02-01,1155695323.8309999,3225228801.814,2790.7258386429476,Water Treatment Chemicals
2024-03-01,1254424033.622,3047820344.7,2429.6571677599172,Water Treatment Chemicals
2024-04-01,1218337902.776,3077186910.55,2525.725337394976,Water Treatment Chemicals
2024-05-01,1314821249.3799999,3596215397.9960003,2735.1363538517385,Water Treatment Chemicals
2024-06-01,1218257802.4689999,3358471889.7200003,2756.782581579617,Water Treatment Chemicals
2024-07-01,1261900460.747,3557838948.53,2819.4291540426943,Water Treatment Chemicals
2024-08-01,1301674695.932,3629217657.063,2788.1141643185115,Water Treatment Chemicals
2024-09-01,1046819475.536,2781289805.009,2656.8953578026467,Water Treatment Chemicals
2024-10-01,1335036358.172,3302196836.107,2473.4883180474103,Water Treatment Chemicals
2024-11-01,1271520464.673,3187639048.816,2506.9506448217276,Water Treatment Chemicals
2024-12-01,1302299957.685,3175653105.7269998,2438.4958987268324,Water Treatment Chemicals
