date,netWgt,fobvalue,price_usd_per_ton,chemical
2025-01-01,57063613.719,30144730.512,528.2653611887001,Acetic Acid
2025-02-01,102978849.688,45494234.95,441.7823182899798,Acetic Acid
2025-03-01,66191111.795,29251671.955,441.92749089326577,Acetic Acid
2025-04-01,138199380.32999998,68409080.221,495.0027999955505,Acetic Acid
2025-05-01,69768712.76799999,31835595.184,456.30188548643633,Acetic Acid
2025-06-01,53421693.96,25140514.322,470.604963235052,Acetic Acid
2025-07-01,50248889.318,23939023.568,476.4090090927569,Acetic Acid
2025-08-01,51607855.513000004,21804519.652999997,422.50388891876054,Acetic Acid
2025-09-01,56886865.476,27027293.746,475.1060463579689,Acetic Acid
2025-10-01,115248012.29699999,44601091.401999995,387.0009600431174,Acetic Acid
2025-11-01,38402634.357,15042939.01,391.71633045163696,Acetic Acid
2025-12-01,4119766.731,1789647.719,434.4051097683375,Acetic Acid
