date,netWgt,fobvalue,price_usd_per_ton,chemical
2025-01-01,13448342.372,14347918.129,1066.891199830914,Formates
2025-02-01,8911640.629,10942871.305,1227.9300479633378,Formates
2025-03-01,7525231.019,9608555.264,1276.845221062309,Formates
2025-04-01,6456879.197,8779609.564,1359.7295684390672,Formates
2025-05-01,6055028.617,7513489.541999999,1240.8677179336937,Formates
2025-06-01,2579599.11,4020980.1709999996,1558.76165230961,Formates
2025-07-01,7035592.825,8622562.776,1225.5630748500573,Formates
2025-08-01,5658107.932,7280706.756,1286.774102491617,Formates
2025-09-01,5759079.292,7068456.183999999,1227.3587192693924,Formates
2025-10-01,8254609.172,11327847.899,1372.3057824984085,Formates
2025-11-01,4378648.935,5632045.562,1286.2519114015247,Formates
2025-12-01,3144286.8,4415144.139,1404.1798410374017,Formates
