date,netWgt,fobvalue,price_usd_per_ton,chemical
2025-01-01,2700396241.289,730855187.557,270.64738736569103,KCL
2025-02-01,2012568348.958,551192171.441,273.8750073886324,KCL
2025-03-01,2745972355.995,744905116.333,271.2718919790744,KCL
2025-04-01,2853117602.1099997,783714042.439,274.6869045493992,KCL
2025-05-01,2771008883.149,789345140.568,284.85839412791086,KCL
2025-06-01,2844069077.809,832512846.394,292.7189261645315,KCL
2025-07-01,3042544249.787,920733800.148,302.61969081056355,KCL
2025-08-01,3044240547.4090004,912974627.2980001,299.9022623475161,KCL
2025-09-01,2392330751.089,753637979.021,315.02248536409127,KCL
2025-10-01,2542490329.48,795822399.507,313.0090172928071,KCL
2025-11-01,69033853.741,28315652.837,410.17053666501323,KCL
2025-12-01,49318513.531,16660972.085,337.8238898974005,KCL
