date,netWgt,fobvalue,price_usd_per_ton,chemical
2025-01-01,2410697687.696,912190605.903,378.39278253708244,Urea
2025-02-01,2078210966.487,851185781.383,409.57621488343955,Urea
2025-03-01,2028980427.979,842986615.658,415.4730149357187,Urea
2025-04-01,1788447636.315,765757607.972,428.16887250319627,Urea
2025-05-01,1575914795.143,702331649.733,445.6660042139333,Urea
2025-06-01,1491556699.831,641122560.516,429.8345216032632,Urea
2025-07-01,1164112934.214,503637572.97400004,432.63635182788533,Urea
2025-08-01,880777824.749,402445991.556,456.92112159009815,Urea
2025-09-01,999709825.474,465352445.047,465.4875176667979,Urea
2025-10-01,1178612566.0479999,524922010.201,445.37282676453503,Urea
2025-11-01,539045933.143,223121772.471,413.9197770587937,Urea
2025-12-01,224616795.6,90228380.947,401.6991726107591,Urea
