date,netWgt,fobvalue,price_usd_per_ton,chemical
2025-01-01,876569207.9760001,2611710546.5950003,2979.468731996011,Water Treatment Chemicals
2025-02-01,830954385.174,2561653505.633,3082.784748884375,Water Treatment Chemicals
2025-03-01,641362597.002,2361137883.393,3681.4399443153643,Water Treatment Chemicals
2025-04-01,826191233.566,2988128123.6689997,3616.751185765631,Water Treatment Chemicals
2025-05-01,834492619.899,2820205078.224,3379.5446610005174,Water Treatment Chemicals
2025-06-01,625493580.895,2077436216.58,3321.27503787882,Water Treatment Chemicals
2025-07-01,686782788.086,2315170734.831,3371.037793889923,Water Treatment Chemicals
2025-08-01,591435421.866,1984388449.2589998,3355.2073073306683,Water Treatment Chemicals
2025-09-01,774919496.084,2699150731.764,3483.136952165953,Water Treatment Chemicals
2025-10-01,699015158.886,2286072591.811,3270.419192988957,Water Treatment Chemicals
2025-11-01,305563136.479,1242524777.311,4066.3438385552554,Water Treatment Chemicals
2025-12-01,172643727.94799998,751379201.352,4352.1951841674445,Water Treatment Chemicals
