typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20200101","2020","1","202001","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31090","false","8","kg","31090","false","31090","false","0","false",,"11305.325","11305.325","0","false","true",
"C","M","20200101","2020","1","202001","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2039.34","false","8","kg","2039.34","false","2039.34","false","2101.74","false","0","7462.557","7462.557","0","false","true",
"C","M","20200101","2020","1","202001","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17753653.728","true","-1","N/A","0","false","17753653.728","true","0","false",,"5555729.059","5555729.059","6","false","true",
"C","M","20200101","2020","1","202001","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","236705","false","8","kg","236705","false","236705","false","0","false",,"149882","149882","0","false","true",
"C","M","20200101","2020","1","202001","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","98240","false","31","kg KOH","58944","false","98240","false","0","false","0","20717.367","20717.367","0","false","true",
"C","M","20200101","2020","1","202001","112","BLR","Belarus","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","723354190","false","32","kg K2O","435938030","false","723354190","false","0","false","0","163526500","163526500","0","false","true",
"C","M","20200101","2020","1","202001","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1403073981","false","8","kg","1403073981","false","1403073981","false","0","false",,"327021622.627","327021622.627","0","false","true",
"C","M","20200101","2020","1","202001","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45657500","false","8","kg","45657500","false","45657500","false","0","false",,"9344142.53","9344142.53","0","false","true",
"C","M","20200101","2020","1","202001","156","CHN","China","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8296873","false","8","kg","8296873","false","8296873","false","0","false","0","3260308","3260308","0","false","true",
"C","M","20200101","2020","1","202001","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H5","HS","true","310420","Fertilizers, mineral or chemical; potassic, potassium chloride","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5000","false","8","kg","5000","false","5000","false","0","false",,"17000","17000","0","false","true",
