typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20200101,2020,1,202001,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,188529.7,False,8,kg,188529.7,False,188529.7,False,188584.9,False,0.0,172832.87,172832.87,0,False,True
C,M,20200101,2020,1,202001,56,BEL,Belgium,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24274973.2,False,8,kg,24274973.2,False,24274973.2,False,0.0,False,,2770220.283,2770220.283,0,False,True
C,M,20200101,2020,1,202001,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2584.0,False,8,kg,2584.0,False,2634.0,False,0.0,False,,7087.0,7087.0,0,False,True
C,M,20200101,2020,1,202001,100,BGR,Bulgaria,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,106531797.0,False,8,kg,106531797.0,False,106531797.0,False,0.0,False,0.0,3173581.214,3173581.214,0,False,True
C,M,20200101,2020,1,202001,112,BLR,Belarus,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8126891.0,False,8,kg,8126891.0,False,8126891.0,False,0.0,False,0.0,390500.0,390500.0,0,False,True
C,M,20200101,2020,1,202001,124,CAN,Canada,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,149451439.0,False,8,kg,149451439.0,False,149451439.0,False,0.0,False,,13613421.254,13613421.254,0,False,True
C,M,20200101,2020,1,202001,156,CHN,China,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,312790770.0,False,8,kg,312790770.0,False,312790770.0,False,0.0,False,0.0,6023683.0,6023683.0,0,False,True
C,M,20200101,2020,1,202001,170,COL,Colombia,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2997506.0,False,8,kg,2997506.0,False,2997506.0,False,0.0,False,,224447.28,224447.28,0,False,True
C,M,20200101,2020,1,202001,191,HRV,Croatia,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,772903.0,False,8,kg,772903.0,False,772903.0,False,0.0,False,0.0,57806.0,57806.0,0,False,True
C,M,20200101,2020,1,202001,203,CZE,Czechia,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7831703.0,False,8,kg,7831703.0,False,7831703.0,False,0.0,False,0.0,612602.0,612602.0,0,False,True
C,M,20200101,2020,1,202001,208,DNK,Denmark,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,122468.0,False,8,kg,122468.0,False,122468.0,False,0.0,False,0.0,29761.568,29761.568,0,False,True
C,M,20200101,2020,1,202001,222,SLV,El Salvador,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,508000.0,False,8,kg,508000.0,False,508000.0,False,0.0,False,0.0,74620.0,74620.0,0,False,True
C,M,20200101,2020,1,202001,251,FRA,France,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10698423.591,True,-1,,0.0,False,10698423.591,True,0.0,False,,1329591.562,1329591.562,6,False,True
C,M,20200101,2020,1,202001,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,62014488.03,True,-1,,0.0,False,62014488.03,True,0.0,False,0.0,5148248.175,5148248.175,6,False,True
C,M,20200101,2020,1,202001,300,GRC,Greece,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27029.0,False,8,kg,27029.0,False,27029.0,False,0.0,False,0.0,8173.195,8173.195,0,False,True
C,M,20200101,2020,1,202001,320,GTM,Guatemala,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,8,kg,500.0,False,500.0,False,0.0,False,0.0,674.0,674.0,0,False,True
C,M,20200101,2020,1,202001,348,HUN,Hungary,X,Export,0,W00,World,0,W00,World,H5,HS,True,280700,Sulphuric acid; oleum,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2548468.0,False,8,kg,2548468.0,False,2548468.0,False,0.0,False,0.0,268775.0,268775.0,0,False,True
